aces,doubleFautes,firstServe,firstServePointsWon,secondServePointsWon,breakPointsFaced,breakPointsSaved,serviceGamePlayed,serviceGamesWon,totalServicePointsWon,firstServeReturnPointsWon,secondServeReturnPointsWon,breakPointsOpportunities,breakPointsConverted,returnGamesPlayed,returnGamesWon,returnPointsWon,totalPointsWon,url,year
5,13,58%,65%,34%,17,29%,26,54%,52%,26%,48%,9,67%,26,23%,37%,45%,https://www.atptour.com/en/players/dominik-hrbaty/h377/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ryler-deheart/d617/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/nicolas-coutelot/c476/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/martin-alund/a539/player-stats?year=2008&surfaceType=clay,2008
0,3,72%,53%,51%,14,36%,21,57%,52%,34%,44%,15,20%,20,15%,38%,45%,https://www.atptour.com/en/players/rainer-eitzinger/e196/player-stats?year=2008&surfaceType=clay,2008
15,2,55%,73%,56%,12,67%,22,82%,66%,24%,53%,12,33%,21,19%,34%,51%,https://www.atptour.com/en/players/thiemo-de-bakker/d776/player-stats?year=2008&surfaceType=clay,2008
4,3,53%,77%,48%,5,40%,10,70%,63%,32%,44%,13,8%,10,10%,36%,48%,https://www.atptour.com/en/players/harel-levy/l336/player-stats?year=2008&surfaceType=clay,2008
3,1,60%,63%,45%,33,67%,35,69%,55%,33%,47%,25,28%,35,20%,38%,47%,https://www.atptour.com/en/players/marc-lopez/l480/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/adrian-menendez-maceiras/mb53/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alexander-satschko/sb34/player-stats?year=2008&surfaceType=clay,2008
5,2,57%,66%,40%,14,64%,14,64%,55%,33%,51%,7,43%,15,20%,40%,47%,https://www.atptour.com/en/players/michael-lammer/l523/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/sebastien-de-chaunac/d351/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/rogerio-dutra-silva/sc73/player-stats?year=2008&surfaceType=clay,2008
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/tobias-kamke/k839/player-stats?year=2008&surfaceType=clay,2008
